"","Date","country","searches"
"219","2003-02-16","New.Zealand",NA
"220","2003-02-16","Norway",NA
"221","2003-02-16","Paraguay",NA
"222","2003-02-16","Peru",236
"223","2003-02-16","Poland",NA
"224","2003-02-16","Romania",736
"225","2003-02-16","Russia",NA
"226","2003-02-16","South.Africa",NA
"227","2003-02-16","Spain",NA
"228","2003-02-16","Sweden",NA
"229","2003-02-16","Switzerland",NA
"230","2003-02-16","Ukraine",NA
"231","2003-02-16","United.States",NA
"232","2003-02-16","Uruguay",NA
"233","2003-02-23","Argentina",135
"234","2003-02-23","Australia",NA
"235","2003-02-23","Austria",NA
"236","2003-02-23","Belgium",NA
"237","2003-02-23","Bolivia",426
"238","2003-02-23","Brazil",194
"239","2003-02-23","Bulgaria",NA
"240","2003-02-23","Canada",NA
"241","2003-02-23","Chile",0
"242","2003-02-23","France",NA
"243","2003-02-23","Germany",NA
"244","2003-02-23","Hungary",NA
"245","2003-02-23","Japan",NA
"246","2003-02-23","Mexico",NA
"247","2003-02-23","Netherlands",NA
"248","2003-02-23","New.Zealand",NA
"249","2003-02-23","Norway",NA
"250","2003-02-23","Paraguay",NA
"251","2003-02-23","Peru",274
"252","2003-02-23","Poland",NA
"253","2003-02-23","Romania",740
"254","2003-02-23","Russia",NA
"255","2003-02-23","South.Africa",NA
"256","2003-02-23","Spain",NA
"257","2003-02-23","Sweden",NA
"258","2003-02-23","Switzerland",NA
"259","2003-02-23","Ukraine",NA
"260","2003-02-23","United.States",NA
"261","2003-02-23","Uruguay",NA
"262","2003-03-02","Argentina",134
"263","2003-03-02","Australia",NA
"264","2003-03-02","Austria",NA
"265","2003-03-02","Belgium",NA
"266","2003-03-02","Bolivia",427
"267","2003-03-02","Brazil",177
"268","2003-03-02","Bulgaria",NA
"269","2003-03-02","Canada",NA
"270","2003-03-02","Chile",0
"271","2003-03-02","France",NA
"272","2003-03-02","Germany",NA
"273","2003-03-02","Hungary",NA
"274","2003-03-02","Japan",NA
"275","2003-03-02","Mexico",NA
"276","2003-03-02","Netherlands",NA
"277","2003-03-02","New.Zealand",NA
"278","2003-03-02","Norway",NA
"279","2003-03-02","Paraguay",NA
"280","2003-03-02","Peru",270
"281","2003-03-02","Poland",NA
"282","2003-03-02","Romania",864
"283","2003-03-02","Russia",NA
"284","2003-03-02","South.Africa",NA
"285","2003-03-02","Spain",NA
"286","2003-03-02","Sweden",NA
"287","2003-03-02","Switzerland",NA
"288","2003-03-02","Ukraine",NA
"289","2003-03-02","United.States",NA
"290","2003-03-02","Uruguay",NA
"291","2003-03-09","Argentina",136
"292","2003-03-09","Australia",NA
"293","2003-03-09","Austria",NA
"294","2003-03-09","Belgium",NA
"295","2003-03-09","Bolivia",460
"296","2003-03-09","Brazil",223
"297","2003-03-09","Bulgaria",NA
"298","2003-03-09","Canada",NA
"299","2003-03-09","Chile",0
"300","2003-03-09","France",NA
"301","2003-03-09","Germany",NA
"302","2003-03-09","Hungary",NA
"303","2003-03-09","Japan",NA
"304","2003-03-09","Mexico",NA
"305","2003-03-09","Netherlands",NA
"306","2003-03-09","New.Zealand",NA
"307","2003-03-09","Norway",NA
"308","2003-03-09","Paraguay",NA
"309","2003-03-09","Peru",312
"310","2003-03-09","Poland",NA
"311","2003-03-09","Romania",824
"312","2003-03-09","Russia",NA
"313","2003-03-09","South.Africa",NA
"314","2003-03-09","Spain",NA
"315","2003-03-09","Sweden",NA
"316","2003-03-09","Switzerland",NA
"317","2003-03-09","Ukraine",NA
"318","2003-03-09","United.States",NA
"319","2003-03-09","Uruguay",NA
"320","2003-03-16","Argentina",134
"321","2003-03-16","Australia",NA
"322","2003-03-16","Austria",NA
"323","2003-03-16","Belgium",NA
"324","2003-03-16","Bolivia",541
"325","2003-03-16","Brazil",213
"326","2003-03-16","Bulgaria",NA
"327","2003-03-16","Canada",NA
"328","2003-03-16","Chile",1
"329","2003-03-16","France",NA
"330","2003-03-16","Germany",NA
"331","2003-03-16","Hungary",NA
"332","2003-03-16","Japan",NA
"333","2003-03-16","Mexico",NA
"334","2003-03-16","Netherlands",NA
"335","2003-03-16","New.Zealand",NA
"336","2003-03-16","Norway",NA
"337","2003-03-16","Paraguay",NA
"338","2003-03-16","Peru",350
"339","2003-03-16","Poland",NA
"340","2003-03-16","Romania",819
"341","2003-03-16","Russia",NA
"342","2003-03-16","South.Africa",NA
"343","2003-03-16","Spain",NA
"344","2003-03-16","Sweden",NA
"345","2003-03-16","Switzerland",NA
"346","2003-03-16","Ukraine",NA
"347","2003-03-16","United.States",NA
"348","2003-03-16","Uruguay",105
"349","2003-03-23","Argentina",153
"350","2003-03-23","Australia",NA
"351","2003-03-23","Austria",NA
"352","2003-03-23","Belgium",NA
"353","2003-03-23","Bolivia",549
"354","2003-03-23","Brazil",228
"355","2003-03-23","Bulgaria",NA
"356","2003-03-23","Canada",NA
"357","2003-03-23","Chile",1
"358","2003-03-23","France",NA
"359","2003-03-23","Germany",NA
"360","2003-03-23","Hungary",NA
"361","2003-03-23","Japan",NA
"362","2003-03-23","Mexico",NA
"363","2003-03-23","Netherlands",NA
"364","2003-03-23","New.Zealand",NA
"365","2003-03-23","Norway",NA
"366","2003-03-23","Paraguay",NA
"367","2003-03-23","Peru",340
"368","2003-03-23","Poland",NA
"369","2003-03-23","Romania",821
"370","2003-03-23","Russia",NA
"371","2003-03-23","South.Africa",NA
"372","2003-03-23","Spain",NA
"373","2003-03-23","Sweden",NA
"374","2003-03-23","Switzerland",NA
"375","2003-03-23","Ukraine",NA
"376","2003-03-23","United.States",NA
"377","2003-03-23","Uruguay",102
"378","2003-03-30","Argentina",158
"379","2003-03-30","Australia",NA
"380","2003-03-30","Austria",NA
"381","2003-03-30","Belgium",NA
"382","2003-03-30","Bolivia",647
"383","2003-03-30","Brazil",262
"384","2003-03-30","Bulgaria",NA
"385","2003-03-30","Canada",NA
"386","2003-03-30","Chile",2
"387","2003-03-30","France",NA
"388","2003-03-30","Germany",NA
"389","2003-03-30","Hungary",NA
"390","2003-03-30","Japan",NA
"391","2003-03-30","Mexico",NA
"392","2003-03-30","Netherlands",NA
"393","2003-03-30","New.Zealand",NA
"394","2003-03-30","Norway",NA
"395","2003-03-30","Paraguay",NA
"396","2003-03-30","Peru",301
"397","2003-03-30","Poland",NA
"398","2003-03-30","Romania",753
"399","2003-03-30","Russia",NA
"400","2003-03-30","South.Africa",NA
"401","2003-03-30","Spain",NA
"402","2003-03-30","Sweden",NA
"403","2003-03-30","Switzerland",NA
"404","2003-03-30","Ukraine",NA
"405","2003-03-30","United.States",NA
"406","2003-03-30","Uruguay",104
"407","2003-04-06","Argentina",187
"408","2003-04-06","Australia",NA
"409","2003-04-06","Austria",NA
"410","2003-04-06","Belgium",NA
"411","2003-04-06","Bolivia",636
"412","2003-04-06","Brazil",308
"413","2003-04-06","Bulgaria",NA
"414","2003-04-06","Canada",NA
"415","2003-04-06","Chile",1
"416","2003-04-06","France",NA
"417","2003-04-06","Germany",NA
"418","2003-04-06","Hungary",NA
"419","2003-04-06","Japan",NA
"420","2003-04-06","Mexico",NA
"421","2003-04-06","Netherlands",NA
"422","2003-04-06","New.Zealand",NA
"423","2003-04-06","Norway",NA
"424","2003-04-06","Paraguay",NA
"425","2003-04-06","Peru",401
"426","2003-04-06","Poland",NA
"427","2003-04-06","Romania",777
"428","2003-04-06","Russia",NA
"429","2003-04-06","South.Africa",NA
"430","2003-04-06","Spain",NA
"431","2003-04-06","Sweden",NA
"432","2003-04-06","Switzerland",NA
"433","2003-04-06","Ukraine",NA
